accession	region	frac_helix	frac_strand	frac_coil	mean_plddt	frac_plddt_gt70	frac_plddt_gt90
A0A385XJ53	pre_domain	0.0	0.3111111111111111	0.6888888888888889	89.91511137220594	0.9555555555555556	0.7555555555555555
A0A385XJ53	n_domain	0.7857142857142857	0.0	0.2142857142857143	92.71333331153507	1.0	0.8095238095238095
A0A385XJE6	pre_domain	0.0	0.0	1.0	56.90666707356771	0.16666666666666666	0.0
A0A385XJE6	n_domain	0.7043478260869566	0.0	0.29565217391304344	93.58617427660072	0.991304347826087	0.8347826086956521
A0A385XJE6	c_region	0.4585365853658537	0.21951219512195122	0.3219512195121952	92.9212195047518	0.9951219512195122	0.8536585365853658
A0A385XJL2	n_domain	0.55	0.0	0.44999999999999996	59.397000026702884	0.0	0.0
A0A385XJL2	c_region	0.0	0.0	1.0	52.34600067138672	0.0	0.0
A0A385XJL4	pre_domain	0.0	0.0	1.0	39.44600016276042	0.0	0.0
A0A385XJL4	n_domain	0.39072847682119205	0.2847682119205298	0.32450331125827814	92.627085982569	0.9536423841059603	0.8410596026490066
A1L188	n_domain	0.8571428571428571	0.0	0.1428571428571429	92.62857208251953	0.9428571428571428	0.8428571428571429
A3KMH1	pre_domain	0.23863636363636365	0.13636363636363635	0.625	51.561818014491685	0.3522727272727273	0.011363636363636364
A3KMH1	n_domain	0.41798941798941797	0.2328042328042328	0.3492063492063493	88.9301586252041	1.0	0.4656084656084656
A3KMH1	c_region	0.3464373464373464	0.2628992628992629	0.3906633906633906	79.2933108109514	0.8378378378378378	0.1339066339066339
A4D1E9	pre_domain	0.0	0.0	1.0	31.79818205399947	0.0	0.0
A4D1E9	n_domain	0.07352941176470588	0.38235294117647056	0.5441176470588236	91.4976469488705	0.9705882352941176	0.75
A4D1E9	c_region	0.4166666666666667	0.19166666666666668	0.3916666666666666	76.27612476348877	0.6791666666666667	0.25416666666666665
A5A605	n_domain	0.7785714285714286	0.08571428571428572	0.1357142857142857	73.61407154628209	0.7714285714285715	0.0
A5A605	c_region	0.0	0.0	1.0	55.6847367537649	0.2631578947368421	0.0
A5A607	pre_domain	0.0	0.0	1.0	73.71111106872559	0.5555555555555556	0.2777777777777778
A5A607	n_domain	0.9069767441860465	0.0	0.09302325581395354	83.260000095811	0.7906976744186046	0.4883720930232558
A5A611	n_domain	0.9523809523809523	0.0	0.04761904761904767	80.69333321707589	0.9523809523809523	0.023809523809523808
A5A611	c_region	0.0	0.0	1.0	59.215383969820465	0.07692307692307693	0.0
A5A612	pre_domain	0.0	0.0	1.0	55.0683339436849	0.0	0.0
A5A612	n_domain	0.7777777777777778	0.0	0.2222222222222222	58.053333353113246	0.0	0.0
A5A614	pre_domain	0.0	0.0	1.0	66.01599960327148	0.4	0.0
A5A614	n_domain	0.9512195121951219	0.0	0.04878048780487809	95.10390249112757	1.0	0.8536585365853658
A5A614	c_region	0.0	0.0	1.0	64.1609098261053	0.09090909090909091	0.0
A5A619	pre_domain	0.0	0.0	1.0	73.99615273108849	0.6923076923076923	0.0
A5A619	n_domain	0.9743589743589743	0.0	0.02564102564102566	81.42948737511269	1.0	0.0
A5A625	n_domain	0.7889908256880734	0.0	0.21100917431192656	82.57816538679491	0.926605504587156	0.28440366972477066
A5A630	n_domain	0.7528089887640449	0.0898876404494382	0.1573033707865169	79.37876437755114	0.651685393258427	0.38202247191011235
A6NC05	pre_domain	0.4827586206896552	0.0	0.5172413793103448	45.33413762059705	0.0	0.0
A6NC05	n_domain	0.28169014084507044	0.19718309859154928	0.5211267605633803	50.34647869056379	0.0	0.0
A6NC05	c_region	0.10526315789473684	0.0	0.8947368421052632	35.62815771604839	0.0	0.0
A6NFY7	pre_domain	0.0	0.0	1.0	78.60199813842773	0.8	0.2
A6NFY7	n_domain	0.8032786885245902	0.0	0.19672131147540983	92.01409824558947	1.0	0.7704918032786885
A6NFY7	c_region	0.0	0.0	1.0	54.9816326997718	0.02040816326530612	0.0
A6NJ78	pre_domain	0.6338028169014085	0.0	0.3661971830985915	35.45535208473743	0.0	0.0
A6NJ78	n_domain	0.47147147147147145	0.13813813813813813	0.3903903903903905	90.21177195070742	0.8978978978978979	0.8048048048048048
A6NK06	pre_domain	0.64	0.0	0.36	91.68679977416993	0.88	0.84
A6NK06	n_domain	0.5238095238095238	0.09523809523809523	0.38095238095238093	98.07070167560626	0.9974937343358395	0.9824561403508771
A6NK06	c_region	0.47368421052631576	0.0	0.5263157894736843	76.69350838242916	0.6491228070175439	0.6140350877192983
A6NK58	n_domain	0.3640552995391705	0.3317972350230415	0.30414746543778803	94.55497699509019	0.9631336405529954	0.8894009216589862
A6NK58	c_region	0.0	0.3	0.7	67.93199996948242	0.5	0.4
A6NNL5	n_domain	0.38095238095238093	0.3197278911564626	0.29931972789115646	91.97986402965728	0.9319727891156463	0.7959183673469388
A6NNL5	c_region	0.0	0.0	1.0	83.81999969482422	1.0	0.0
A8DYQ1	n_domain	0.95	0.0	0.050000000000000044	73.55225038528442	0.75	0.0
A8MSI8	pre_domain	0.0	0.0	1.0	67.0466677347819	0.3333333333333333	0.0
A8MSI8	n_domain	0.8428571428571429	0.0	0.15714285714285714	94.2668575831822	0.9857142857142858	0.9285714285714286
A8MUP2	pre_domain	0.0	0.0	1.0	47.38838718783471	0.25806451612903225	0.06451612903225806
A8MUP2	n_domain	0.35406698564593303	0.27751196172248804	0.36842105263157887	93.62287055932734	0.9712918660287081	0.8660287081339713
A8MXV4	pre_domain	0.0	0.0	1.0	33.19714219229562	0.0	0.0
A8MXV4	n_domain	0.298932384341637	0.23843416370106763	0.46263345195729544	88.31003571914184	0.8754448398576512	0.6725978647686833
A8MXV4	c_region	0.12643678160919541	0.3218390804597701	0.5517241379310345	90.55885060628255	0.9425287356321839	0.7816091954022989
C1P5Z7	n_domain	0.8536585365853658	0.0	0.14634146341463417	78.842926583639	0.926829268292683	0.0
