uniprot_accession	region	frac_helix	frac_strand	frac_coil	mean_plddt	frac_plddt_gt70	frac_plddt_gt90
A0A087WU62	pre_domain	0.20689655172413793	0.0	0.7931034482758621	65.9403448275862	0.4827586206896552	0.11206896551724138
A0A087WU62	n_domain	0.7272727272727273	0.01818181818181818	0.2545454545454545	92.89690909090909	1.0	0.8545454545454545
A0A087WU62	c_region	0.011764705882352941	0.12941176470588237	0.8588235294117647	79.69435294117648	0.788235294117647	0.29411764705882354
A3KMH1	pre_domain	0.2159090909090909	0.125	0.6590909090909091	51.561818181818175	0.3522727272727273	0.011363636363636364
A3KMH1	n_domain	0.3862433862433862	0.2328042328042328	0.38095238095238093	88.93015873015872	1.0	0.4656084656084656
A3KMH1	c_region	0.3273955773955774	0.25552825552825553	0.41707616707616707	79.29331081081082	0.8378378378378378	0.1339066339066339
A4D1E9	pre_domain	0.0	0.0	1.0	31.798181818181828	0.0	0.0
A4D1E9	n_domain	0.09558823529411764	0.375	0.5294117647058824	91.49764705882353	0.9705882352941176	0.75
A4D1E9	c_region	0.37916666666666665	0.17916666666666667	0.44166666666666665	76.27612500000002	0.6791666666666667	0.25416666666666665
A6NC05	pre_domain	0.41379310344827586	0.0	0.5862068965517241	45.3341379310345	0.0	0.0
A6NC05	n_domain	0.28169014084507044	0.19718309859154928	0.5211267605633803	50.346478873239434	0.0	0.0
A6NC05	c_region	0.07894736842105263	0.0	0.9210526315789473	35.62815789473684	0.0	0.0
A6NC05	n_half	0.3611111111111111	0.19444444444444445	0.4444444444444444	54.63527777777778	0.0	0.0
A6NC05	c_half	0.2	0.2	0.6	45.935142857142864	0.0	0.0
A6NJ78	pre_domain	0.5774647887323944	0.0	0.4225352112676056	35.45535211267605	0.0	0.0
A6NJ78	n_domain	0.44144144144144143	0.14414414414414414	0.4144144144144144	90.21177177177178	0.8978978978978979	0.8048048048048048
A6NJ78	c_region	0.0	0.6666666666666666	0.3333333333333333	97.29	1.0	1.0
A6NK06	pre_domain	0.64	0.0	0.36	91.6868	0.88	0.84
A6NK06	n_domain	0.5012531328320802	0.09774436090225563	0.40100250626566414	98.07070175438595	0.9974937343358395	0.9824561403508771
A6NK06	c_region	0.40350877192982454	0.0	0.5964912280701754	76.69350877192984	0.6491228070175439	0.6140350877192983
A6NK58	pre_domain	0.0	0.0	1.0	74.445	0.75	0.0
A6NK58	n_domain	0.3548387096774194	0.3225806451612903	0.3225806451612903	94.55497695852534	0.9631336405529954	0.8894009216589862
A6NK58	c_region	0.0	0.3	0.7	67.93199999999999	0.5	0.4
A6NK58	n_half	0.29357798165137616	0.3853211009174312	0.3211009174311927	92.7905504587156	0.926605504587156	0.8532110091743119
A6NK58	c_half	0.4166666666666667	0.25925925925925924	0.32407407407407407	96.33574074074075	1.0	0.9259259259259259
A8MUP2	pre_domain	0.0	0.0	1.0	47.388387096774196	0.25806451612903225	0.06451612903225806
A8MUP2	n_domain	0.3444976076555024	0.28708133971291866	0.3684210526315789	93.62287081339713	0.9712918660287081	0.8660287081339713
