uniprot_accession	region	length	net_charge	frac_hydrophobic	frac_charged	frac_polar	frac_aromatic	frac_small
A0A087WU62	pre_domain	116	9.0	0.3706896551724138	0.25	0.23275862068965517	0.08620689655172414	0.21551724137931033
A0A087WU62	n_domain	55	-1.0	0.34545454545454546	0.3090909090909091	0.3090909090909091	0.09090909090909091	0.12727272727272726
A0A087WU62	c_region	85	-2.0	0.3411764705882353	0.25882352941176473	0.21176470588235294	0.10588235294117647	0.12941176470588237
A3KMH1	pre_domain	88	6.0	0.3181818181818182	0.22727272727272727	0.25	0.022727272727272728	0.26136363636363635
A3KMH1	n_domain	189	4.0	0.38095238095238093	0.30687830687830686	0.21164021164021163	0.07936507936507936	0.14285714285714285
A3KMH1	c_region	1628	-14.0	0.36609336609336607	0.23587223587223588	0.2831695331695332	0.07371007371007371	0.1898034398034398
A4D1E9	pre_domain	11	2.0	0.45454545454545453	0.18181818181818182	0.36363636363636365	0.09090909090909091	0.09090909090909091
A4D1E9	n_domain	136	12.0	0.3382352941176471	0.2647058823529412	0.18382352941176472	0.058823529411764705	0.25
A4D1E9	c_region	240	-5.0	0.3875	0.2375	0.2833333333333333	0.06666666666666667	0.18333333333333332
A6NC05	pre_domain	29	3.0	0.41379310344827586	0.10344827586206896	0.41379310344827586	0.13793103448275862	0.3103448275862069
A6NC05	n_domain	71	6.0	0.23943661971830985	0.2535211267605634	0.352112676056338	0.07042253521126761	0.15492957746478872
A6NC05	c_region	38	-1.0	0.2894736842105263	0.23684210526315788	0.34210526315789475	0.15789473684210525	0.18421052631578946
A6NC05	n_half	36	0.0	0.2777777777777778	0.3333333333333333	0.25	0.08333333333333333	0.027777777777777776
A6NC05	c_half	35	6.0	0.2	0.17142857142857143	0.45714285714285713	0.05714285714285714	0.2857142857142857
A6NJ78	pre_domain	71	-1.0	0.28169014084507044	0.29577464788732394	0.352112676056338	0.1267605633802817	0.1267605633802817
A6NJ78	n_domain	333	5.0	0.39039039039039036	0.23123123123123124	0.2672672672672673	0.06306306306306306	0.2222222222222222
A6NJ78	c_region	3	1.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0
A6NK06	pre_domain	25	1.0	0.44	0.2	0.28	0.04	0.24
A6NK06	n_domain	399	1.0	0.41854636591478694	0.18295739348370926	0.2756892230576441	0.09523809523809523	0.2531328320802005
A6NK06	c_region	57	-3.0	0.3508771929824561	0.19298245614035087	0.3684210526315789	0.017543859649122806	0.22807017543859648
A6NK58	pre_domain	4	1.0	0.25	0.25	0.25	0.0	0.0
A6NK58	n_domain	217	5.0	0.4009216589861751	0.21658986175115208	0.2073732718894009	0.05069124423963134	0.2304147465437788
A6NK58	c_region	10	-2.0	0.2	0.2	0.5	0.0	0.2
A6NK58	n_half	109	5.0	0.4036697247706422	0.22935779816513763	0.14678899082568808	0.03669724770642202	0.26605504587155965
A6NK58	c_half	108	0.0	0.39814814814814814	0.2037037037037037	0.26851851851851855	0.06481481481481481	0.19444444444444445
A8MUP2	pre_domain	31	2.0	0.5161290322580645	0.12903225806451613	0.22580645161290322	0.03225806451612903	0.3225806451612903
A8MUP2	n_domain	209	-9.0	0.37799043062200954	0.14832535885167464	0.291866028708134	0.09090909090909091	0.24880382775119617
A8MUP2	n_half	105	-5.0	0.37142857142857144	0.14285714285714285	0.2761904761904762	0.0761904761904762	0.23809523809523808
A8MUP2	c_half	104	-4.0	0.38461538461538464	0.15384615384615385	0.3076923076923077	0.10576923076923077	0.25961538461538464
A8MXV4	pre_domain	7	1.0	0.2857142857142857	0.14285714285714285	0.42857142857142855	0.0	0.42857142857142855
A8MXV4	n_domain	281	0.0	0.37722419928825623	0.20640569395017794	0.2099644128113879	0.10676156583629894	0.24555160142348753
A8MXV4	c_region	87	-1.0	0.3448275862068966	0.28735632183908044	0.28735632183908044	0.09195402298850575	0.09195402298850575
A8MXV4	n_half	141	1.0	0.36879432624113473	0.20567375886524822	0.19148936170212766	0.0851063829787234	0.28368794326241137
A8MXV4	c_half	140	-1.0	0.38571428571428573	0.20714285714285716	0.22857142857142856	0.12857142857142856	0.20714285714285716
B4DEF8	pre_domain	139	11.0	0.3669064748201439	0.22302158273381295	0.2517985611510791	0.09352517985611511	0.22302158273381295
